vpn,style,sku,barcode,size,neck_circumference,shoulder_width,arm_length,center_back,chest_width,waist_circumference,inner_leg,outer_leg,thigh_circumference,glutes,cost_price,rrp,sale_price,brand_id,description,category,cost_price_cents,rrp_cents,sale_price_cents,vendor,style_number,size_code,sub_category,fabric_composition,silhouette,main_colour,print_wash,remote_photo_url
1314784,,S18100100105,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit gingham poplin shirt player logo button down in green/white,TOPS,15200,15200,15200,ASOS,S181001001,05,Shirt,100% Cotton,slim,green,Gingham,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-gingham-poplin-shirt-player-logo-button-down-in-green-white/10233316-1-evergreenwhite?$XXL$&wid=513&fit=constrain
1314745,,S18100100205,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit garment dyed shirt player logo button down in navy,TOPS,15200,15200,15200,ASOS,S181001002,05,Shirt,100% Cotton,slim,navy,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-garment-dyed-shirt-player-logo-button-down-in-navy/10232855-1-navy?$XXL$&wid=513&fit=constrain
1300313,,S18100100305,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit pique shirt player logo button-down in white,TOPS,15200,15200,15200,ASOS,S181001003,05,Shirt,100% Cotton,slim,white,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-pique-shirt-player-logo-button-down-in-white/10065142-1-white?$XXL$&wid=513&fit=constrain
1314744,,S18100100405,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit garment dyed shirt player logo button down in black,TOPS,15200,15200,15200,ASOS,S181001004,05,Shirt,100% Cotton,slim,black,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-garment-dyed-shirt-player-logo-button-down-in-black/10232867-1-poloblack?$XXL$&wid=513&fit=constrain
1314749,,S18100100505,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit garment dyed shirt player logo button down in beige,TOPS,15200,15200,15200,ASOS,S181001005,05,Shirt,100% Cotton,slim,sand,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-garment-dyed-shirt-player-logo-button-down-in-beige/10232852-1-surreytan?$XXL$&wid=513&fit=constrain
1300316,,S18100100605,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit pique shirt player logo button-down in dark green,TOPS,15200,15200,15200,ASOS,S181001006,05,Shirt,100% Cotton,slim,green,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-pique-shirt-player-logo-button-down-in-dark-green/10065137-1-collegegreen?$XXL$&wid=513&fit=constrain
1300333,,S18100100705,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit small check shirt player logo button-down in white/red/navy,TOPS,15200,15200,15200,ASOS,S181001007,05,Shirt,100% Cotton,slim,red,Check,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-small-check-shirt-player-logo-button-down-in-white-red-navy/10065144-1-redbluemulti?$XXL$&wid=513&fit=constrain
1199044,,S18100100805,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit pique shirt player logo button-down in navy,TOPS,15200,15200,15200,ASOS,S181001008,05,Shirt,100% Cotton,slim,navy,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-pique-shirt-player-logo-button-down-in-navy/8994920-1-navy?$XXL$&wid=513&fit=constrain
1300321,,S18100100905,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit pique shirt player logo button-down in black,TOPS,15200,15200,15200,ASOS,S181001009,05,Shirt,100% Cotton,slim,black,Plain,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-pique-shirt-player-logo-button-down-in-black/10065112-1-poloblack?$XXL$&wid=513&fit=constrain
1199048,,S18100101005,,M,40.5,47,89.5,79.5,108,,0,0,0,0,152,152,152,1,Polo Ralph Lauren slim fit pique shirt player logo button-down in grey marl,TOPS,15200,15200,15200,ASOS,S181001010,05,Shirt,100% Cotton,slim,grey,Marle,https://images.asos-media.com/products/polo-ralph-lauren-slim-fit-pique-shirt-player-logo-button-down-in-grey-marl/8994938-1-grey?$XXL$&wid=513&fit=constrain
